peak_budget,workload_budget,reward,p_hard,queries
14.0,5.0,0.7054732971191406,0.38,13.0
14.0,6.0,0.7171518859863282,0.46,13.0
14.0,7.0,0.7273706512451172,0.53,13.0
14.0,8.0,0.7390492401123047,0.61,13.0
14.0,9.0,0.7507278289794922,0.69,13.0
14.0,10.0,0.7609465942382813,0.76,13.0
14.0,11.0,0.7726251831054687,0.84,13.0
14.0,12.0,0.7843037719726562,0.92,13.0
14.0,13.0,0.7959823608398438,1.0,13.0
14.0,14.0,0.7959823608398438,1.0,13.0
14.0,15.0,0.7959823608398438,1.0,13.0
14.0,16.0,0.7959823608398438,1.0,13.0
14.0,17.0,0.7959823608398438,1.0,13.0
14.0,18.0,0.7959823608398438,1.0,13.0
14.0,19.0,0.7959823608398438,1.0,13.0
14.0,20.0,0.7959823608398438,1.0,13.0
14.0,21.0,0.7959823608398438,1.0,13.0
15.0,0.0,0.65,0.0,0.0
15.0,1.0,0.6607227478027343,0.06,15.0
15.0,2.0,0.6732326202392578,0.13,15.0
15.0,3.0,0.6857424926757812,0.2,15.0
15.0,4.0,0.6964652404785157,0.26,15.0
15.0,5.0,0.708975112915039,0.33,15.0
15.0,6.0,0.7214849853515626,0.4,15.0
15.0,7.0,0.7322077331542969,0.46,15.0
15.0,8.0,0.7447176055908203,0.53,15.0
15.0,9.0,0.7572274780273438,0.6,15.0
15.0,10.0,0.7679502258300781,0.66,15.0
15.0,11.0,0.7804600982666016,0.73,15.0
15.0,12.0,0.792969970703125,0.8,15.0
15.0,13.0,0.8036927185058593,0.86,15.0
15.0,14.0,0.8162025909423828,0.93,15.0
15.0,15.0,0.8287124633789062,1.0,15.0
15.0,16.0,0.8287124633789062,1.0,15.0
15.0,17.0,0.8287124633789062,1.0,15.0
15.0,18.0,0.8287124633789062,1.0,15.0
15.0,19.0,0.8287124633789062,1.0,15.0
15.0,20.0,0.8287124633789062,1.0,15.0
15.0,21.0,0.8287124633789062,1.0,15.0
16.0,0.0,0.65,0.0,0.0
16.0,1.0,0.6607227478027343,0.06,15.0
16.0,2.0,0.6732326202392578,0.13,15.0
16.0,3.0,0.6857424926757812,0.2,15.0
16.0,4.0,0.6964652404785157,0.26,15.0
16.0,5.0,0.708975112915039,0.33,15.0
16.0,6.0,0.7214849853515626,0.4,15.0
16.0,7.0,0.7322077331542969,0.46,15.0
16.0,8.0,0.7447176055908203,0.53,15.0
16.0,9.0,0.7572274780273438,0.6,15.0
16.0,10.0,0.7679502258300781,0.66,15.0
16.0,11.0,0.7804600982666016,0.73,15.0
16.0,12.0,0.792969970703125,0.8,15.0
16.0,13.0,0.8036927185058593,0.86,15.0
16.0,14.0,0.8162025909423828,0.93,15.0
16.0,15.0,0.8287124633789062,1.0,15.0
16.0,16.0,0.8287124633789062,1.0,15.0
16.0,17.0,0.8287124633789062,1.0,15.0
16.0,18.0,0.8287124633789062,1.0,15.0
16.0,19.0,0.8287124633789062,1.0,15.0
16.0,20.0,0.8287124633789062,1.0,15.0
16.0,21.0,0.8287124633789062,1.0,15.0
17.0,0.0,0.65,0.0,0.0
17.0,1.0,0.6607766914367675,0.05,17.0
17.0,2.0,0.6737087211608886,0.11,17.0
17.0,3.0,0.6866407508850098,0.17,17.0
17.0,4.0,0.699572780609131,0.23,17.0
17.0,5.0,0.7125048103332519,0.29,17.0
17.0,6.0,0.7254368400573731,0.35,17.0
17.0,7.0,0.7383688697814942,0.41,17.0
17.0,8.0,0.7513008995056152,0.47,17.0
17.0,9.0,0.7620775909423828,0.52,17.0
17.0,10.0,0.7750096206665039,0.58,17.0
17.0,11.0,0.787941650390625,0.64,17.0
17.0,12.0,0.8008736801147461,0.7,17.0
17.0,13.0,0.8138057098388672,0.76,17.0
17.0,14.0,0.8267377395629882,0.82,17.0
17.0,15.0,0.8396697692871093,0.88,17.0
17.0,16.0,0.8526017990112305,0.94,17.0
17.0,17.0,0.8655338287353516,1.0,17.0
17.0,18.0,0.8655338287353516,1.0,17.0
17.0,19.0,0.8655338287353516,1.0,17.0
17.0,20.0,0.8655338287353516,1.0,17.0
17.0,21.0,0.8655338287353516,1.0,17.0
18.0,0.0,0.65,0.0,0.0
18.0,1.0,0.6607766914367675,0.05,17.0
18.0,2.0,0.6737087211608886,0.11,17.0
18.0,3.0,0.6866407508850098,0.17,17.0
18.0,4.0,0.699572780609131,0.23,17.0
18.0,5.0,0.7125048103332519,0.29,17.0
18.0,6.0,0.7254368400573731,0.35,17.0
18.0,7.0,0.7383688697814942,0.41,17.0
18.0,8.0,0.7513008995056152,0.47,17.0
18.0,9.0,0.7620775909423828,0.52,17.0
18.0,10.0,0.7750096206665039,0.58,17.0
18.0,11.0,0.787941650390625,0.64,17.0
18.0,12.0,0.8008736801147461,0.7,17.0
18.0,13.0,0.8138057098388672,0.76,17.0
18.0,14.0,0.8267377395629882,0.82,17.0
18.0,15.0,0.8396697692871093,0.88,17.0
18.0,16.0,0.8526017990112305,0.94,17.0
18.0,17.0,0.8655338287353516,1.0,17.0
18.0,18.0,0.8655338287353516,1.0,17.0
18.0,19.0,0.8655338287353516,1.0,17.0
18.0,20.0,0.8655338287353516,1.0,17.0
18.0,21.0,0.8655338287353516,1.0,17.0
19.0,0.0,0.65,0.0,0.0
19.0,1.0,0.6630950736999511,0.05,19.0
19.0,2.0,0.6761901473999025,0.1,19.0
19.0,3.0,0.6892852210998535,0.15,19.0
19.0,4.0,0.704999309539795,0.21,19.0
19.0,5.0,0.7180943832397461,0.26,19.0
