theta,budget,reward,queries
0.5,12.700000000000001,1.0,21.0
0.5,12.8,1.0,21.0
0.5,12.9,1.0,21.0
0.5,13.0,1.0,21.0
0.5,13.100000000000001,1.0,21.0
0.5,13.200000000000001,1.0,21.0
0.5,13.3,1.0,21.0
0.5,13.4,1.0,21.0
0.5,13.5,1.0,21.0
0.5,13.600000000000001,1.0,21.0
0.5,13.700000000000001,1.0,21.0
0.5,13.8,1.0,21.0
0.5,13.9,1.0,21.0
0.5,14.0,1.0,21.0
0.5,14.100000000000001,1.0,21.0
0.5,14.200000000000001,1.0,21.0
0.5,14.3,1.0,21.0
0.5,14.4,1.0,21.0
0.5,14.5,1.0,21.0
0.5,14.600000000000001,1.0,21.0
0.5,14.700000000000001,1.0,21.0
0.5,14.8,1.0,21.0
0.5,14.9,1.0,21.0
0.5,15.0,1.0,21.0
0.5,15.100000000000001,1.0,21.0
0.5,15.200000000000001,1.0,21.0
0.5,15.3,1.0,21.0
0.5,15.4,1.0,21.0
0.5,15.5,1.0,21.0
0.5,15.600000000000001,1.0,21.0
0.5,15.700000000000001,1.0,21.0
0.5,15.8,1.0,21.0
0.5,15.9,1.0,21.0
0.5,16.0,1.0,21.0
0.5,16.1,1.0,21.0
0.5,16.2,1.0,21.0
0.5,16.3,1.0,21.0
0.5,16.400000000000002,1.0,21.0
0.5,16.5,1.0,21.0
0.5,16.6,1.0,21.0
0.5,16.7,1.0,21.0
0.5,16.8,1.0,21.0
0.5,16.900000000000002,1.0,21.0
0.5,17.0,1.0,21.0
0.5,17.1,1.0,21.0
0.5,17.2,1.0,21.0
0.5,17.3,1.0,21.0
0.5,17.400000000000002,1.0,21.0
0.5,17.5,1.0,21.0
0.5,17.6,1.0,21.0
0.5,17.7,1.0,21.0
0.5,17.8,1.0,21.0
0.5,17.900000000000002,1.0,21.0
0.5,18.0,1.0,21.0
0.5,18.1,1.0,21.0
0.5,18.2,1.0,21.0
0.5,18.3,1.0,21.0
0.5,18.400000000000002,1.0,21.0
0.5,18.5,1.0,21.0
0.5,18.6,1.0,21.0
0.5,18.7,1.0,21.0
0.5,18.8,1.0,21.0
0.5,18.900000000000002,1.0,21.0
0.5,19.0,1.0,21.0
0.5,19.1,1.0,21.0
0.5,19.200000000000003,1.0,21.0
0.5,19.3,1.0,21.0
0.5,19.400000000000002,1.0,21.0
0.5,19.5,1.0,21.0
0.5,19.6,1.0,21.0
0.5,19.700000000000003,1.0,21.0
0.5,19.8,1.0,21.0
0.5,19.900000000000002,1.0,21.0
0.5,20.0,1.0,21.0
0.5,20.1,1.0,21.0
0.5,20.200000000000003,1.0,21.0
0.5,20.3,1.0,21.0
0.5,20.400000000000002,1.0,21.0
0.5,20.5,1.0,21.0
0.5,20.6,1.0,21.0
0.5,20.700000000000003,1.0,21.0
0.5,20.8,1.0,21.0
0.5,20.900000000000002,1.0,21.0
0.5,21.0,1.0,21.0
1.0,0.0,0.5,0.0
1.0,0.1,0.5,0.0
1.0,0.2,0.5,0.0
1.0,0.30000000000000004,0.5,0.0
1.0,0.4,0.5,0.0
1.0,0.5,0.5,0.0
1.0,0.6000000000000001,0.5,0.0
1.0,0.7000000000000001,0.5,0.0
1.0,0.8,0.5,0.0
1.0,0.9,0.5,0.0
1.0,1.0,0.5880985260009766,1.0
1.0,1.1,0.5880985260009766,1.0
1.0,1.2000000000000002,0.5880985260009766,1.0
1.0,1.3,0.5880985260009766,1.0
1.0,1.4000000000000001,0.5880985260009766,1.0
1.0,1.5,0.5880985260009766,1.0
1.0,1.6,0.5880985260009766,1.0
1.0,1.7000000000000002,0.5880985260009766,1.0
1.0,1.8,0.5880985260009766,1.0
1.0,1.9000000000000001,0.5880985260009766,1.0
1.0,2.0,0.5880985260009766,1.0
1.0,2.1,0.5880985260009766,1.0
1.0,2.2,0.5880985260009766,1.0
1.0,2.3000000000000003,0.5880985260009766,1.0
1.0,2.4000000000000004,0.5880985260009766,1.0
1.0,2.5,0.5880985260009766,1.0
1.0,2.6,0.5880985260009766,1.0
1.0,2.7,0.5880985260009766,1.0
1.0,2.8000000000000003,0.5880985260009766,1.0
1.0,2.9000000000000004,0.5880985260009766,1.0
1.0,3.0,0.6344661712646484,3.0
1.0,3.1,0.6344661712646484,3.0
1.0,3.2,0.6344661712646484,3.0
1.0,3.3000000000000003,0.6344661712646484,3.0
1.0,3.4000000000000004,0.6344661712646484,3.0
1.0,3.5,0.6344661712646484,3.0
1.0,3.6,0.6344661712646484,3.0
1.0,3.7,0.6344661712646484,3.0
1.0,3.8000000000000003,0.6344661712646484,3.0
1.0,3.9000000000000004,0.6344661712646484,3.0
1.0,4.0,0.6344661712646484,3.0
1.0,4.1000000000000005,0.6344661712646484,3.0
1.0,4.2,0.6344661712646484,3.0
1.0,4.3,0.6344661712646484,3.0
1.0,4.4,0.6344661712646484,3.0
1.0,4.5,0.6344661712646484,3.0
1.0,4.6000000000000005,0.6344661712646484,3.0
1.0,4.7,0.6344661712646484,3.0
1.0,4.800000000000001,0.6344661712646484,3.0
1.0,4.9,0.6344661712646484,3.0
1.0,5.0,0.6712875366210938,5.0
1.0,5.1000000000000005,0.6712875366210938,5.0
1.0,5.2,0.6712875366210938,5.0
1.0,5.300000000000001,0.6712875366210938,5.0
1.0,5.4,0.6712875366210938,5.0
1.0,5.5,0.6712875366210938,5.0
1.0,5.6000000000000005,0.6712875366210938,5.0
1.0,5.7,0.6712875366210938,5.0
1.0,5.800000000000001,0.6712875366210938,5.0
1.0,5.9,0.6712875366210938,5.0
1.0,6.0,0.6712875366210938,5.0
1.0,6.1000000000000005,0.6712875366210938,5.0
1.0,6.2,0.6712875366210938,5.0
1.0,6.300000000000001,0.6712875366210938,5.0
1.0,6.4,0.6712875366210938,5.0
1.0,6.5,0.6712875366210938,5.0
1.0,6.6000000000000005,0.6712875366210938,5.0
1.0,6.7,0.6712875366210938,5.0
1.0,6.800000000000001,0.6712875366210938,5.0
1.0,6.9,0.6712875366210938,5.0
1.0,7.0,0.7040176391601562,7.0
1.0,7.1000000000000005,0.7040176391601562,7.0
1.0,7.2,0.7040176391601562,7.0
